id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
4319;CXC03028;CXC03028;SUPORTE;BUCHAS, SUPORTES E EIXOS;SUPORTE SUPERIOR DO AMORTECEDOR;TRASEIRA;;CXC03028.jpg;;;; CXC03028 SUPORTE 043.0906 430906 1313 46464273 802 FZ00306512G MB 475 MB475 FIAT ARGO MOBI PALIO SIENA UNO  SUPORTE SUPORTE SUPERIOR DO AMORTECEDOR TRASEIRA ORIGINAL 46464273 AXIOS 043.0906 SAMPEL 1313 MOBENSANI MB 475 BFX 802 GETOFLEX FZ00306512G
4320;CXC03217;CXC03217;SUPORTE;BUCHAS, SUPORTES E EIXOS;SUPORTE DO CÂMBIO;DIANTEIRA ESQUERDA;;CXC03217.jpg;;;; CXC03217 SUPORTE 1114 51921214 875 FIAT GRAND SIENA IDEA PALIO PALIO WEEKEND STRADA  SUPORTE SUPORTE DO CAMBIO DIANTEIRA ESQUERDA ORIGINAL 51921214 SAMPEL 1114 BFX 875
4321;MGC16658;MGC16658;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA TRASEIRA;;MGC16658.jpg;;;; MGC16658 MOLA A GAS 52083764 MG 17489 MG17489 FIAT GRAND SIENA  MOLA A GAS MOLA A GAS PORTA TRASEIRA ORIGINAL 52083764 NAKATA MG 17489
4322;MGC16661;MGC16661;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;CAPÔ DO MOTOR;;mgc16661.jpg;;;; MGC16661 MOLA A GAS 9881501 MERCEDES-BENZ AXOR TODOS  MOLA A GAS MOLA A GAS CAPO DO MOTOR ORIGINAL 9881501
4323;MGC16663;MGC16663;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;BAGAGEIRO LATERAL DA CABINE;;MGC16663.jpg;;;; MGC16663 MOLA A GAS 1761668 SCANIA S4 S5  MOLA A GAS MOLA A GAS BAGAGEIRO LATERAL DA CABINE ORIGINAL 1761668
4324;PFC010044;PFC010044;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC010044.jpg;;;; PFC010044 PASTILHA PARA FREIO 2076/2016 20762016 3C0698151G VOLKSWAGEN PASSAT CC  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 3C0698151G REGISTRO INMETRO 2076/2016
4325;PFC010045;PFC010045;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC010045.jpg;;;; PFC010045 PASTILHA PARA FREIO 2075/2016 20752016 VOLKSWAGEN CROSSFOX POLO  PASTILHA PARA FREIO PASTILHAS DIANTEIRA REGISTRO INMETRO 2075/2016
4326;PFC010046;PFC010046;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC010046.jpg;;;; PFC010046 PASTILHA PARA FREIO 2078/2016 20782016 2H6.698.451 2H6698451 VOLKSWAGEN AMAROK HIGHLINE HIGHLINE SERIE EXTREME DELIVERY EXPRESS  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 2H6.698.451 REGISTRO INMETRO 2078/2016
4327;PFC010047;PFC010047;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC010047.jpg;;;; PFC010047 PASTILHA PARA FREIO 0648/2024 6482024 2075/2016 20752016 2Q0698151E AUDI VOLKSWAGEN A1 SPORTBACK NIVUS POLO T-CROSS TERA VIRTUS  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 2Q0698151E REGISTRO INMETRO 2075/2016 REGISTRO INMETRO 0648/2024
4328;PFC010048;PFC010048;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC010048.jpg;;;; PFC010048 PASTILHA PARA FREIO 2081/2016 20812016 2H6.615.110 2H6615110 VOLKSWAGEN AMAROK V6 HIGHLINE V6 HIGHLINE SERIE EXTREME  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 2H6.615.110 REGISTRO INMETRO 2081/2016
