id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
2;GL12475;GL12475;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GL12475.jpg;;;; GL12475 AMORTECEDOR 021/2013 212013 27016 334016MM 344115 4167/2012 41672012 46436110 46809960 GL12594 HG 31038 HG31038 ALFA ROMEO FIAT 145 155 BRAVA COUPE MAREA MAREA WEEKEND PALIO WEEKEND ADVENTURE RST I / II TREKKING RST I / II / III / TREKKING  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 46436110 MONROE 27016 NAKATA HG 31038 KYB 344115 ORIGINAL 46809960 MONROE 334016MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 CODIGO ANTIGO GL12594
3;B.47069;B47069;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;B.47069.jpg;;;; B.47069 B47069 AMORTECEDOR 021/2013 212013 334110MM 344302 38110 4167/2012 41672012 444162 AC 30766 AC30766 NK71E-34-700 NK71E34700 ASIA MOTORS KIA MOTORS BESTA EXCETO GS TOPIC  AMORTECEDOR SUPER DIANTEIRA ORIGINAL NK71E-34-700 MONROE 38110 NAKATA AC 30766 KYB 444162 KYB 344302 MONROE 334110MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
4;L.12129;L12129;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12129.JPG;;;; L.12129 L12129 AMORTECEDOR 021/2013 212013 38112 4167/2012 41672012 AC 30783 AC30783 ASIA MOTORS TOPIC  AMORTECEDOR SUPER TRASEIRA MONROE 38112 NAKATA AC 30783 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
5;B.47776;B47776;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47776.JPG;;;; B.47776 B47776 AMORTECEDOR 021/2013 212013 334061MM 38061 4167/2012 41672012 AA11028700B AC 30824 AC30824 ASIA MOTORS TOWNER PANEL VAN / GLASS VAN / COACH FULL  AMORTECEDOR SUPER TRASEIRA ORIGINAL AA11028700B MONROE 38061 NAKATA AC 30824 MONROE 334061MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
6;B.47777;B47777;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47777.JPG;;;; B.47777 B47777 AMORTECEDOR 021/2013 212013 4167/2012 41672012 AA10028700B AC 30832 AC30832 ASIA MOTORS TOWNER TRUCK  AMORTECEDOR SUPER TRASEIRA ORIGINAL AA10028700B NAKATA AC 30832 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
7;16520;16520;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16520.JPG;;;; 16520 MOLA A GAS AUDI A3 TODOS OS MODELOS  MOLA A GAS MOLA A GAS PORTA MALAS 
8;MGC16645;MGC16645;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;CAPÔ DO MOTOR;;mgc16645.jpg;;;; MGC16645 MOLA A GAS MG 17058 MG17058 AUDI VOLKSWAGEN A3 BORA GOLF IV GERACAO POLO HATCH  MOLA A GAS MOLA A GAS CAPO DO MOTOR NAKATA MG 17058
9;GB27395;GB27395;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB27395.jpg;;;; GB27395 AMORTECEDOR 011021/2023 110212023 021/2013 212013 1894/2013 18942013 1956/2018 19562018 1JO413025BG 27166 343280 4167/2012 41672012 6979/2016 69792016 HG 31040 HG31040 SP166 AUDI VOLKSWAGEN A3 EXCETO TIPTRONIC / TURBO BORA GOLF SERIE 4 / 5 - EXCETO TIPTRONIC E TURBO JETTA IV NEW BEETLE  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 1JO413025BG MONROE 27166 NAKATA HG 31040 KYB 343280 MONROE SP166 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 1894/2013 REGISTRO INMETRO 1956/2018 REGISTRO INMETRO 4167/2012 REGISTRO INMETRO 6979/2016 REGISTRO INMETRO 011021/2023
10;GP32477;GP32477;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP32477.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SGP32477; GP32477 AMORTECEDOR 023/2013 232013 127/2013 1272013 1904/2018 19042018 1JO413031AG 27154 3348031 334812 4166/2012 41662012 4169/2012 41692012 HG 33009 HG33009 SP154 AUDI VOLKSWAGEN A3 EXCETO TIPTRONIC / TURBO BORA GOLF SERIE 4 / 5 - EXCETO TIPTRONIC E TURBO JETTA IV NEW BEETLE  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 1JO413031AG MONROE 27154 NAKATA HG 33009 KYB 334812 MONROE SP154 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 1904/2018 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 KYB 3348031
11;17997M;17997M;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;17997m.JPG;;;; 17997M MOLA A GAS AUDI VOLKSWAGEN A4 TODOS OS MODELOS BORA  MOLA A GAS MOLA A GAS PORTA MALAS 
13;L.12780;L12780;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;L.12780.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL13625; L.12780 L12780 AMORTECEDOR 021/2013 212013 334415MM 4167/2012 41672012 444336 52286771 54415 AC35481 CHEVROLET A-10 TODOS OS MODELOS A-20 4X2 C-10 C-20 D-10 D-20  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 52286771 NAKATA AC35481 KYB 444336 MONROE 54415 MONROE 334415MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
15;SL13625;SL13625;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;DIANTEIRA;;SL13625.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO L.12780; SL13625 AMORTECEDOR 021/2013 212013 334415MM 4167/2012 41672012 AC 35481 AC35481 CHEVROLET A-10 A-20 4X2 C-10 C-20 D-10 D-20  AMORTECEDOR SPA - SUPER DIANTEIRA REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334415MM NAKATA AC 35481
17;L.12135;L12135;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12135.jpg;;;; L.12135 L12135 AMORTECEDOR 021/2013 212013 27015 334015MM 4167/2012 41672012 445097 AC 35722 AC35722 CHEVROLET A-20 4X2 C-20 D-20  AMORTECEDOR SUPER TRASEIRA MONROE 27015 NAKATA AC 35722 KYB 445097 MONROE 334015MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
18;L.12136;L12136;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12136.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL13627; L.12136 L12136 AMORTECEDOR 021/2013 212013 334416MM 4167/2012 41672012 444341 4443421 445097 54416 94620087 AC 35482 AC35482 L.12765 L12765 CHEVROLET A-10 TODOS OS MODELOS A-20 4X2 C-10 C-20 D-10 D-20 VERANEIO  AMORTECEDOR SUPER TRASEIRA MONROE 54416 NAKATA AC 35482 KYB 444341 MONROE 334416MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 CODIGO ANTIGO L.12765 KYB 4443421 KYB 445097 ORIGINAL 94620087
19;L.12744;L12744;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12744.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL13619; L.12744 L12744 AMORTECEDOR 021/2013 212013 334416MM 4167/2012 41672012 444341 54416 94646970 AC35482 CHEVROLET A-20 4X2 C-20 D-10 D-20  AMORTECEDOR SUPER TRASEIRA ORIGINAL 94646970 NAKATA AC35482 MONROE 54416 KYB 444341 MONROE 334416MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
20;SL13619;SL13619;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SL13619.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO L.12744; SL13619 AMORTECEDOR 021/2013 212013 4167/2012 41672012 CHEVROLET A-20 4X2 C-20 D-20  AMORTECEDOR SPA - SUPER TRASEIRA REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
21;SL13627;SL13627;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SL13627.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO L.12136; SL13627 AMORTECEDOR 021/2013 212013 334415MM 4167/2012 41672012 AC 35481 AC35481 SL13618 CHEVROLET A-10 TODOS OS MODELOS A-20 4X2 C-10 C-20 D-10 D-20  AMORTECEDOR SPA - SUPER TRASEIRA REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334415MM NAKATA AC 35481 CODIGO ANTIGO SL13618
23;GB48043;GB48043;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB48043.jpg;;;; GB48043 AMORTECEDOR 021/2013 212013 348049 4167/2012 41672012 94701320 HG 31151 HG31151 SP205 CHEVROLET AGILE  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 94701320 KYB 348049 NAKATA HG 31151 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE SP205
24;GP30316;GP30316;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP30316.jpg;;;; GP30316 AMORTECEDOR 023/2013 232013 127/2013 1272013 4166/2012 41662012 4169/2012 41692012 52047616 93354559 94701316 HG 33042 HG33042 SP045 CHEVROLET AGILE TODOS OS MODELOS  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 93354559 NAKATA HG 33042 ORIGINAL 52047616 ORIGINAL 94701316 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 MONROE SP045
25;MGC16517;MGC16517;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;MGC16517.JPG;;;; MGC16517 MOLA A GAS MG 17123 MG17123 CHEVROLET ASTRA TODOS OS MODELOS  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 17123
26;G.32269;G32269;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;G.32269.jpg;;;; G.32269 G32269 AMORTECEDOR 024/2013 242013 365504 4164/2012 41642012 43804 90496642 HG 31089 HG31089 CHEVROLET ASTRA GLS MPFI / SW  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 90496642 NAKATA HG 31089 KYB 365504 REGISTRO INMETRO 024/2013 REGISTRO INMETRO 4164/2012 MONROE 43804
27;GB47732;GB47732;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB47732.jpg;;;; GB47732 AMORTECEDOR 021/2013 212013 334041MM 4167/2012 41672012 93226159 HG 30730 HG30730 CHEVROLET DAEWOO ASTRA GLS / MPFI ESPERO CD KADETT GSI / SPORT VECTRA  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 93226159 NAKATA HG 30730 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334041MM
28;GBL1085;GBL1085;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GBL1085.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SGBL1085; GBL1085 AMORTECEDOR 021/2013 212013 27243 349072 4167/2012 41672012 93258744 HG 30873 HG30873 SP243 CHEVROLET ASTRA TODOS OS MODELOS  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 93258744 MONROE 27243 NAKATA HG 30873 KYB 349072 MONROE SP243 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
29;GP32276;GP32276;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA ESQUERDA;;GP32276.jpg;;;; GP32276 AMORTECEDOR 023/2013 232013 127/2013 1272013 27040 334847 4166/2012 41662012 4169/2012 41692012 93247095 HG 32872 HG32872 SP040 CHEVROLET ASTRA TODOS OS MODELOS  AMORTECEDOR TURBOGAS DIANTEIRA ESQUERDA ORIGINAL 93247095 MONROE 27040 NAKATA HG 32872 KYB 334847 MONROE SP040 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012
30;GP32277;GP32277;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA DIREITA;;GP32277.jpg;;;; GP32277 AMORTECEDOR 023/2013 232013 127/2013 1272013 27039 334846 4166/2012 41662012 4169/2012 41692012 93247096 HG 32871 HG32871 SP039 CHEVROLET ASTRA TODOS OS MODELOS  AMORTECEDOR TURBOGAS DIANTEIRA DIREITA ORIGINAL 93247096 MONROE 27039 NAKATA HG 32871 KYB 334846 MONROE SP039 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012
33;CB27286;CB27286;AMORTECEDOR;AMORTECEDORES;SUPER;EIXO TRASEIRO;;CB27286.JPG;;;; CB27286 AMORTECEDOR 93278843 CHEVROLET BLAZER TODOS OS MODELOS S10  AMORTECEDOR SUPER EIXO TRASEIRO ORIGINAL 93278843
35;GL12709;GL12709;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GL12709.jpg;;;; GL12709 AMORTECEDOR 021/2013 212013 334481MM 334498MM 4167/2012 41672012 AC 35764 AC35764 HG 36030 HG36030 CHEVROLET BLAZER 4X2 S10  AMORTECEDOR TURBOGAS DIANTEIRA REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334481MM MONROE 334498MM NAKATA AC 35764 NAKATA HG 36030
36;GL12736;GL12736;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GL12736.jpg;;;; GL12736 AMORTECEDOR 021/2013 212013 27498 334396MM 334481MM 4167/2012 41672012 AC 35764 AC35764 HG 36027 HG36027 CHEVROLET BLAZER 4X2  AMORTECEDOR TURBOGAS DIANTEIRA MONROE 27498 NAKATA HG 36027 MONROE 334396MM NAKATA AC 35764 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334481MM
37;GL12737;GL12737;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GL12737.jpg;;;; GL12737 AMORTECEDOR 021/2013 212013 334492MM 344042 4167/2012 41672012 HG 36028 HG36028 CHEVROLET BLAZER 4X4  AMORTECEDOR TURBOGAS DIANTEIRA NAKATA HG 36028 KYB 344042 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334492MM
38;L.12350;L12350;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12350.jpg;;;; L.12350 L12350 AMORTECEDOR 021/2013 212013 27483 344041 34483MM 4167/2012 41672012 444335 93233460 932334660 93279207 AC 35765 AC35765 GL12460 HG 36030 HG36030 CHEVROLET BLAZER TODOS OS MODELOS  AMORTECEDOR SUPER TRASEIRA ORIGINAL 93233460 NAKATA AC 35765 KYB 444335 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 CODIGO ANTIGO GL12460 KYB 344041 MONROE 27483 MONROE 34483MM NAKATA HG 36030 ORIGINAL 932334660 ORIGINAL 93279207
39;L.12734;L12734;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;L.12734.JPG;;;; L.12734 L12734 AMORTECEDOR 021/2013 212013 334396MM 4167/2012 41672012 AC 35764 AC35764 CHEVROLET BLAZER 4X2  AMORTECEDOR SUPER DIANTEIRA NAKATA AC 35764 MONROE 334396MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
40;L.12735;L12735;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;L.12735.jpg;;;; L.12735 L12735 AMORTECEDOR 021/2013 212013 27492 334419MM 334492MM 4167/2012 41672012 HG 36028 HG36028 CHEVROLET BLAZER 4X4  AMORTECEDOR SUPER DIANTEIRA MONROE 27492 MONROE 334419MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334492MM NAKATA HG 36028
41;19056;19056;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;19056.jpg;;;; 19056 MOLA A GAS MG 19576 MG19576 CHEVROLET BONANZA SEM LIMPADOR TRASEIRO VERANEIO  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 19576
42;19057;19057;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;19057.jpg;;;; 19057 MOLA A GAS 52268937 MG 19576 MG19576 CHEVROLET BONANZA COM LIMPADOR TRASEIRO VERANEIO  MOLA A GAS MOLA A GAS PORTA MALAS ORIGINAL 52268937 NAKATA MG 19576
43;CB27220;CB27220;AMORTECEDOR;AMORTECEDORES;SUPER;DIREÇÃO;;CB27220.jpg;;;; CB27220 AMORTECEDOR 100436 4570098001 CHEVROLET TOYOTA TROLLER BANDEIRANTE JEEP PICK-UP BONANZA TODOS OS MODELOS D-20 SILVERADO T4 VERANEIO  AMORTECEDOR SUPER DIRECAO ORIGINAL 4570098001 ORIGINAL 100436
44;L.12003;L12003;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;L.12003.jpg;;;; L.12003 L12003 AMORTECEDOR 021/2013 212013 4167/2012 41672012 444336 CHEVROLET BONANZA VERANEIO  AMORTECEDOR SUPER DIANTEIRA REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 KYB 444336
45;L.12047;L12047;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;L.12047.jpg;;;; L.12047 L12047 AMORTECEDOR 021/2013 212013 334004MM 4167/2012 41672012 445096 93228966 AC 35481 AC35481 CHEVROLET BONANZA VERANEIO  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 93228966 NAKATA AC 35481 MONROE 334004MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 KYB 445096
46;L.12048;L12048;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12048.jpg;;;; L.12048 L12048 AMORTECEDOR 021/2013 212013 27015 334015MM 334416MM 4167/2012 41672012 445097 93228967 AC 35482 AC35482 CHEVROLET BONANZA VERANEIO  AMORTECEDOR SUPER TRASEIRA ORIGINAL 93228967 MONROE 27015 NAKATA AC 35482 MONROE 334015MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334416MM KYB 445097
47;L.12781;L12781;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12781.jpg;;;; L.12781 L12781 AMORTECEDOR 021/2013 212013 334404MM 334416MM 4167/2012 41672012 444341 52286772 54416 AC 35482 AC35482 CHEVROLET BONANZA VERANEIO  AMORTECEDOR SUPER TRASEIRA ORIGINAL 52286772 MONROE 54416 NAKATA AC 35482 MONROE 334404MM MONROE 334416MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 KYB 444341
48;MGE8021;MGE8021;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;BANCO;;MGE8021.jpg;;;; MGE8021 MOLA A GAS CHEVROLET FORD BONANZA BANCOS PROCAR D-20 F-1000 TODOS OS MODELOS SILVERADO VERANEIO  MOLA A GAS MOLA A GAS BANCO 
49;L.12892;L12892;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12892.JPG;;;; L.12892 L12892 AMORTECEDOR 021/2013 212013 334404MM 334416MM 4167/2012 41672012 54416 7317416 AC 35482 AC35482 CHEVROLET C-10 C-14  AMORTECEDOR SUPER TRASEIRA ORIGINAL 7317416 MONROE 54416 NAKATA AC 35482 MONROE 334404MM MONROE 334416MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
50;L.12901;L12901;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;L.12901.jpg;;;; L.12901 L12901 AMORTECEDOR 021/2013 212013 334415MM 4167/2012 41672012 444336 54415 7364848 AC 35481 AC35481 CHEVROLET C-10 TODOS OS MODELOS C-14 VERANEIO  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 7364848 MONROE 54415 NAKATA AC 35481 MONROE 334415MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 KYB 444336
51;16529;16529;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;CAPÔ DO MOTOR;;16529.jpg;;;; 16529 MOLA A GAS 96 661 547 96661547 MG 17341 MG17341 CHEVROLET CAPTIVA TODOS OS MODELOS  MOLA A GAS MOLA A GAS CAPO DO MOTOR ORIGINAL 96 661 547 NAKATA MG 17341
52;16539;16539;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16539.jpg;;;; 16539 MOLA A GAS 25 970 284 25970284 MG 17342 MG17342 CHEVROLET CAPTIVA TODOS OS MODELOS  MOLA A GAS MOLA A GAS PORTA MALAS ORIGINAL 25 970 284 NAKATA MG 17342
53;GL13083;GL13083;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GL13083.jpg;;;; GL13083 AMORTECEDOR 021/2013 212013 25937458 345084 4167/2012 41672012 911258M HG 41178 HG41178 CHEVROLET CAPTIVA TODOS OS MODELOS  AMORTECEDOR TURBOGAS TRASEIRA KYB 345084 ORIGINAL 25937458 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 911258M NAKATA HG 41178
54;22021;22021;AMORTECEDOR;AMORTECEDORES;SUPER;DIREÇÃO;;22021.JPG;;;; 22021 AMORTECEDOR 940621508 CHEVROLET CARAVAN COM DIRECAO MECANICA OPALA  AMORTECEDOR SUPER DIRECAO ORIGINAL 940621508
55;B.47427;B47427;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;B.47427.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SB27019; B.47427 B47427 AMORTECEDOR 021/2013 212013 334822MM 4167/2012 41672012 94608769 AC 25013 AC25013 CHEVROLET CARAVAN TODOS OS MODELOS OPALA 2 E 4 PORTAS  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 94608769 NAKATA AC 25013 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334822MM
56;BL.1006;BL1006;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;BL.1006.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO ST27033; BL.1006 BL1006 AMORTECEDOR 021/2013 212013 334823MM 4167/2012 41672012 444337 94630386 AC 30071 AC30071 CHEVROLET CARAVAN TODOS OS MODELOS OPALA 2 E 4 PORTAS  AMORTECEDOR SUPER TRASEIRA ORIGINAL 94630386 NAKATA AC 30071 KYB 444337 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334823MM
57;GB47604;GB47604;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GB47604.jpg;;;; GB47604 AMORTECEDOR 021/2013 212013 27822 334822MM 4167/2012 41672012 444235 52285218 HG 30596 HG30596 CHEVROLET CARAVAN TODOS OS MODELOS OPALA 2 E 4 PORTAS  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 52285218 MONROE 27822 NAKATA HG 30596 KYB 444235 MONROE 334822MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
58;GBL1015;GBL1015;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GBL1015.jpg;;;; GBL1015 AMORTECEDOR 021/2013 212013 27970 334970MM 349177 4167/2012 41672012 52285222 HG 30598 HG30598 CHEVROLET CARAVAN TODOS OS MODELOS OPALA 2 E 4 PORTAS  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 52285222 MONROE 27970 NAKATA HG 30598 KYB 349177 MONROE 334970MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
59;SB27019;SB27019;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;DIANTEIRA;;SB27019.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47427; SB27019 AMORTECEDOR 021/2013 212013 334822MM 4167/2012 41672012 AC 25013 AC25013 CHEVROLET CARAVAN TODOS OS MODELOS OPALA 2 E 4 PORTAS  AMORTECEDOR SPA - SUPER DIANTEIRA NAKATA AC 25013 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334822MM
60;ST27033;ST27033;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;ST27033.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO BL.1006; ST27033 AMORTECEDOR 021/2013 212013 15823 334823MM 4167/2012 41672012 AC 30071 AC30071 CHEVROLET CARAVAN TODOS OS MODELOS OPALA 2 E 4 PORTAS  AMORTECEDOR SPA - SUPER TRASEIRA MONROE 15823 NAKATA AC 30071 MONROE 334823MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
62;B.47061;B47061;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47061.jpg;;;; B.47061 B47061 AMORTECEDOR 021/2013 212013 1894/2013 18942013 1956/2018 19562018 334035MM 4167/2012 41672012 443225 90222900 AC 30728 AC30728 CHEVROLET CELTA CLASSIC CORSA EXCETO GSI / PICK-UP WAGON  AMORTECEDOR SUPER TRASEIRA ORIGINAL 90222900 NAKATA AC 30728 KYB 443225 MONROE 334035MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 1894/2013 REGISTRO INMETRO 1956/2018 REGISTRO INMETRO 4167/2012
63;GB47061;GB47061;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB47061.jpg;;;; GB47061 AMORTECEDOR 021/2013 212013 1894/2013 18942013 334035MM 343455 4167/2012 41672012 93310409 GB47798 HG 31106 HG31106 CHEVROLET CELTA CLASSIC CORSA EXCETO GSI / PICK-UP WAGON PRISMA TODOS OS MODELOS  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 93310409 NAKATA HG 31106 KYB 343455 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 1894/2013 REGISTRO INMETRO 4167/2012 MONROE 334035MM CODIGO ANTIGO GB47798
64;GP30192;GP30192;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP30192.jpg;;;; GP30192 AMORTECEDOR 127/2013 1272013 27034 3330118 38034 4166/2012 41662012 4169/2012 41692012 808034MM HG 30853 HG30853 SP034 SP053 CHEVROLET CELTA CLASSIC CORSA EXCETO GSI / PICK-UP WAGON PRISMA TODOS OS MODELOS  AMORTECEDOR TURBOGAS DIANTEIRA MONROE 27034 MONROE 38034 NAKATA HG 30853 MONROE SP034 MONROE SP053 MONROE 808034MM REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 KYB 3330118
